food_name,324,301,303,305,309,307,430,417,404,405
garlic,0.0,5.43,0.051,4.59,0.0348,0.51,0.051,0.09,0.006,0.0033
peanut,0.0,0.58,0.0158,3.63,0.0277,4.1,0.0,0.97,0.0015,0.002
orange,0.0,60.2,0.182,32.2,0.112,1.4,0.0,47.6,0.0952,0.0714
grape,0.0,4.9,0.1764,9.8,0.0343,0.98,7.154,0.98,0.0338,0.0343
broccoli,0.0,4.0,0.067,6.7,0.045,4.1,14.11,10.8,0.0063,0.0123
pepper,0.0,10.189,0.2233,3.634,0.0274,0.46,3.7651,0.391,0.0025,0.0041
peanut,0.0,0.58,0.0158,3.63,0.0277,4.1,0.0,0.97,0.0015,0.002
cucumber,0.0,32.16,0.5628,48.24,0.402,4.02,32.964,14.07,0.0543,0.0663
strawberry,0.0,14.4,0.369,21.6,0.126,0.9,1.98,21.6,0.0216,0.0198
lettuce,0.0,31.02,0.9118,28.2,0.2162,7.52,96.35,127.84,0.0677,0.063
apple,0.0,10.92,0.2184,20.02,0.0728,1.82,4.004,5.46,0.0309,0.0473
rice,0.0,15.8,0.316,67.94,0.7742,1.58,0.0,4.74,0.0316,0.0205
almond,0.0,3.4572,0.0481,6.0759,0.0427,6.4242,0.0,0.7095,0.001,0.0154
potato,0.0,25.95,1.8684,121.1,0.6228,17.3,3.46,48.44,0.1107,0.083
spinach,0.0,244.8,6.426,100.8,1.368,126.0,888.48,262.8,0.171,0.4248
blueberry,0.0,0.0816,0.0038,0.1632,0.0022,0.0136,0.2625,0.0816,0.0005,0.0006
banana,0.0,5.9,0.3068,25.96,0.177,1.18,0.59,23.6,0.0366,0.0861
carrot,0.0,13.8,0.1564,13.8,0.092,26.68,6.302,6.44,0.0304,0.0202
strawberry,0.0,14.4,0.369,21.6,0.126,0.9,1.98,21.6,0.0216,0.0198
pasta,0.0,8.68,1.5872,71.92,0.6324,1.24,0.0,90.52,0.3398,0.1686
butter,0.0,3.408,0.0028,3.408,0.0128,91.306,0.994,0.426,0.0007,0.0048
grape,0.0,4.9,0.1764,9.8,0.0343,0.98,7.154,0.98,0.0338,0.0343
cucumber,0.0,32.16,0.5628,48.24,0.402,4.02,32.964,14.07,0.0543,0.0663
shrimp,0.2,4.55,0.016,15.3,0.0815,47.35,0.02,1.2,0.0016,0.0012
walnut,0.0,1.9894,0.0591,7.0238,0.0627,0.0406,0.0548,1.9894,0.0069,0.0031
cheese,6.72,198.8,0.0392,127.4,1.0192,182.84,0.672,7.56,0.0081,0.1198
egg,41.0,28.0,0.875,99.0,0.645,71.0,0.15,23.5,0.02,0.2285
yogurt,1.7,311.1,0.136,244.8,1.513,119.0,0.34,18.7,0.0748,0.3638
honey,0.0,1.26,0.0882,0.84,0.0462,0.84,0.0,0.42,0.0,0.008
salt,0.0,0.36,0.005,0.0,0.0015,581.37,0.0,0.0,0.0,0.0
butter,0.0,3.408,0.0028,3.408,0.0128,91.306,0.994,0.426,0.0007,0.0048
sugar,0.0,0.042,0.0021,0.0,0.0004,0.042,0.0,0.0,0.0,0.0008
butter,0.0,3.408,0.0028,3.408,0.0128,91.306,0.994,0.426,0.0007,0.0048
fish,255.0,23.8,1.173,346.8,0.697,95.2,1.53,10.2,0.1581,0.1241
bell pepper,0.0,11.02,0.5244,22.8,0.1558,2.28,5.662,22.04,0.0555,0.0323
olive oil,0.0,0.135,0.0756,0.0,0.0,0.27,8.127,0.0,0.0,0.0
bell pepper,0.0,11.02,0.5244,22.8,0.1558,2.28,5.662,22.04,0.0555,0.0323
